Requirement Text,Requirement Type,Source Dataset
The system shall be intuitive to the Program Administrators/Nursing Staff Members.,Usability,GitHub SRS
2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,Usability,GitHub SRS
The system shall use symbols and words that are naturally understandable by the user community.,Usability,GitHub SRS
The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,Usability,GitHub SRS
Staff members shall be able to complete a set of tasks in a timely manner.,Performance,GitHub SRS
The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,Performance,GitHub SRS
The system shall be available for use between the hours of 8am and 6pm.,Availability,GitHub SRS
The system shall achieve 95% up time.,Availability,GitHub SRS
system shall be able to handle all of the user requests/usage during business hours.,Scalability,GitHub SRS
The system shall cater to 10 simultaneous users from 9am to 5pm.,Scalability,GitHub SRS
The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,Scalability,GitHub SRS
The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,Scalability,GitHub SRS
The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,Operational,GitHub SRS
The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,Operational,GitHub SRS
The system shall operate within the Windows XP Professional operating system.,Operational,GitHub SRS
The system shall interface with CampusConnects central server,Operational,GitHub SRS
The system shall interface with the faculty central server.,Operational,GitHub SRS
The system shall interface with the student master server.,Operational,GitHub SRS
We must be able to interface with any HTML browser.,Operational,GitHub SRS
Only authorized users shall have access to clinical site information.,Security,GitHub SRS
Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,Security,GitHub SRS
Only authorized users shall have access to students personal information.,Security,GitHub SRS
Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students personal information.,Security,GitHub SRS
Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,Security,GitHub SRS
Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,Security,GitHub SRS
The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,Security,GitHub SRS
The system shall protect private information in accordance with the organizations information policy.,Security,GitHub SRS
The system shall be built such that it is as secure as possible from malicious interference.,Security,GitHub SRS
The system shall use the organizations standard virus protection software to help monitor threats to itself.,Security,GitHub SRS
A cohort shall be associated to one Program of Study offered by the department.,Functional,GitHub SRS
Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,Functional,GitHub SRS
Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,Functional,GitHub SRS
Students added to a cohort shall be eligible for the cohorts Program of Study.,Functional,GitHub SRS
Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,Functional,GitHub SRS
For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,Functional,GitHub SRS
Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,Functional,GitHub SRS
Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,Functional,GitHub SRS
Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.,Functional,GitHub SRS
A class shall be either a non-clinical class or a clinical class.,Functional,GitHub SRS
A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,Functional,GitHub SRS
A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,Functional,GitHub SRS
Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,Functional,GitHub SRS
A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,Functional,GitHub SRS
Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,Functional,GitHub SRS
The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members planning purposes.,Functional,GitHub SRS
The report of needed classes shall include (but not be limited to) classes to be offered  number of sections needed  number of labs needed  and room types needed.,Functional,GitHub SRS
Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,Functional,GitHub SRS
Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,Functional,GitHub SRS
Clinical site information shall include (but not be limited to) the name of the site  contact person  and contact information.,Functional,GitHub SRS
A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.,Functional,GitHub SRS
Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,Functional,GitHub SRS
The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,Functional,GitHub SRS
The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,Functional,GitHub SRS
Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,Functional,GitHub SRS
A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,Functional,GitHub SRS
A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.,Functional,GitHub SRS
The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.,Functional,GitHub SRS
The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).,Functional,GitHub SRS
The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.,Functional,GitHub SRS
The system shall be able to display a printable summary of the system log.,Functional,GitHub SRS
The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,Functional,GitHub SRS
The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,Functional,GitHub SRS
The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,Functional,GitHub SRS
The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.,Functional,GitHub SRS
The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,Functional,GitHub SRS
The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohorts program of study and changes to a given weeks schedule (lab cancelled this week due to instructor illness).,Functional,GitHub SRS
The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a students status from full time to part time and moving a student to a different clinical section.,Functional,GitHub SRS
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts  including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.,Functional,GitHub SRS
The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,Look And Feel,GitHub SRS
All screens created as part of the Disputes application must comply with corporate standards for interface creation.,Look And Feel,GitHub SRS
The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,Usability,GitHub SRS
100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,Usability,GitHub SRS
100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,Usability,GitHub SRS
100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,Usability,GitHub SRS
The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,Performance,GitHub SRS
The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,Performance,GitHub SRS
The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday  Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,Operational,GitHub SRS
The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,Operational,GitHub SRS
The Disputes application shall interface with the Cardmember Information Database.  The Cardmember Information Database provides detailed information with regard to a cardmember.  All cardmember detail information must be obtained from the Cardmember Information Database.,Operational,GitHub SRS
The Disputes applications shall interface with the Merchant Information Database.  The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,Operational,GitHub SRS
The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,Operational,GitHub SRS
The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchants accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,Operational,GitHub SRS
The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,Security,GitHub SRS
Only users with Update access must be able to initiate dispute requests.,Security,GitHub SRS
The Disputes application shall ensure that only authorized users are allowed to logon to the application.,Security,GitHub SRS
All authorized users  once authenticated must be able to logon to the Disputes System,Security,GitHub SRS
The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing users access level.  The report will be reviewed for auditing purposes.,Security,GitHub SRS
All additions of new users and modifications to users access shall be recorded on the User Report.,Security,GitHub SRS
If a user account is revoked  it can only be re-instantiated by the System Administrator.,Security,GitHub SRS
Only the System Administrator shall be able to reset a revoked user logon account,Security,GitHub SRS
The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,Security,GitHub SRS
All updates to data files or database must be initiated from the Disputes System.,Security,GitHub SRS
The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,Legal,GitHub SRS
All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,Legal,GitHub SRS
All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,Legal,GitHub SRS
The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,Legal,GitHub SRS
All actions that modify an existing dispute case must be recorded in the case history.,Legal,GitHub SRS
The Disputes System must be accessible by both internal and external users.,Functional,GitHub SRS
The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,Functional,GitHub SRS
The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,Functional,GitHub SRS
The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,Functional,GitHub SRS
The Disputes System shall provide view access capability for authorized users of the application.,Functional,GitHub SRS
The Disputes System shall provide update access capability for authorized users of the application.,Functional,GitHub SRS
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,Functional,GitHub SRS
The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,Functional,GitHub SRS
The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,Functional,GitHub SRS
The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,Functional,GitHub SRS
The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,Functional,GitHub SRS
The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,Functional,GitHub SRS
The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,Functional,GitHub SRS
The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,Functional,GitHub SRS
The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,Functional,GitHub SRS
The Disputes System must provide the ability to view existing dispute cases.,Functional,GitHub SRS
The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,Functional,GitHub SRS
A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,Functional,GitHub SRS
The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,Functional,GitHub SRS
The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,Functional,GitHub SRS
The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,Functional,GitHub SRS
For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,Functional,GitHub SRS
All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,Functional,GitHub SRS
Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,Functional,GitHub SRS
The product must support Internet Explorer 5.5 and above.,Operational,GitHub SRS
The product must support Mozilla Firefox 1.0 and above.,Operational,GitHub SRS
The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,Operational,GitHub SRS
The product shall run on the existing hardware for all environments.,Operational,GitHub SRS
The product shall adhere to the corporate Architecture guidelines,Operational,GitHub SRS
The product shall comply with corporate User Interface Guidelines,Look And Feel,GitHub SRS
The product shall comply with corporate color scheme,Look And Feel,GitHub SRS
The appearance of the product shall appear professional,Look And Feel,GitHub SRS
The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,Usability,GitHub SRS
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,Usability,GitHub SRS
Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,Usability,GitHub SRS
The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,Usability,GitHub SRS
The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,Usability,GitHub SRS
The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,Performance,GitHub SRS
The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,Performance,GitHub SRS
The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,Performance,GitHub SRS
The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,Performance,GitHub SRS
The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,Availability,GitHub SRS
The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,Availability,GitHub SRS
The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,Scalability,GitHub SRS
The average number of recycled parts records per day shall be 50 000.,Scalability,GitHub SRS
The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,Scalability,GitHub SRS
For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,Operational,GitHub SRS
The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,Operational,GitHub SRS
The maintenance of the product will fall within the established corporate maintenance windows.,Operational,GitHub SRS
The product shall be supported using the corporate support center.,Operational,GitHub SRS
Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,Operational,GitHub SRS
Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,Security,GitHub SRS
Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,Security,GitHub SRS
Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,Security,GitHub SRS
Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,Security,GitHub SRS
One insurance company shall not be able to view another insurance companys claim data.,Security,GitHub SRS
The product shall free of computer viruses.,Security,GitHub SRS
The system shall prevent malicious attacks including denial of service.,Security,GitHub SRS
The product must comply with Sarbanes-Oxley.,Legal,GitHub SRS
The product shall comply with the estimatics laws relating to recycled parts usage.,Legal,GitHub SRS
The product shall comply with insurance regulations regarding claims processing.,Legal,GitHub SRS
The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,Functional,GitHub SRS
The vehicle data shall include vehicle year  make  and model,Functional,GitHub SRS
The vehicle location shall include street address  city  state  and zipcode,Functional,GitHub SRS
The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,Functional,GitHub SRS
The search radius shall be between 1 and 30 miles,Functional,GitHub SRS
The system shall locate the preferred repair facility with the highest ratings for the input criteria,Functional,GitHub SRS
The adjuster shall enter the preferred repair facility on the estimate assignment.,Functional,GitHub SRS
The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,Functional,GitHub SRS
The preferred repair facility shall be returned to the user.,Functional,GitHub SRS
The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,Functional,GitHub SRS
The estimator shall search for available recycled parts using damaged vehicle parts information.,Functional,GitHub SRS
The estimator shall search for available recycled parts using a list of preferred parts suppliers.,Functional,GitHub SRS
The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,Functional,GitHub SRS
The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,Functional,GitHub SRS
The system shall retain the available recycled parts and suppliers returned from the search.,Functional,GitHub SRS
The available recycled parts information and their suppliers shall be returned to the user.,Functional,GitHub SRS
The estimator shall apply selected recycled parts to the collision estimate.,Functional,GitHub SRS
The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,Functional,GitHub SRS
The adjuster shall review the collision estimate.,Functional,GitHub SRS
The adjuster shall request a recycled parts audit of the collision estimate.,Functional,GitHub SRS
The recycled parts search results provided to the estimator shall be retrieved by the system.,Functional,GitHub SRS
The system shall generate an audit report based on the available recycled parts and the collision estimate.,Functional,GitHub SRS
The audit report shall include the total number of recycled parts used in the estimate.,Functional,GitHub SRS
The audit report shall include the number of available recycled parts from the original search results.,Functional,GitHub SRS
The audit report shall include the percentage of available recycled parts used in the estimate,Functional,GitHub SRS
The audit report shall include the total score of the audit which sums the indivual line items.,Functional,GitHub SRS
The audit report shall be displayed to the user.,Functional,GitHub SRS
The audit report shall be available to other adjusters at later points in time.,Functional,GitHub SRS
The user shall select to view the preferred repair facility ratings.,Functional,GitHub SRS
The current repair facility ratings shall be displayed to the user.,Functional,GitHub SRS
The system will display a blank set of ratings if there are not ratings yet defined.,Functional,GitHub SRS
The user shall enter new ratings based on the audit report,Functional,GitHub SRS
The ratings shall be from a scale of 1-10,Functional,GitHub SRS
The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,Functional,GitHub SRS
The user shall select to save the preferred repair facility ratings.,Functional,GitHub SRS
The preferred repair facility ratings shall be saved by the system.,Functional,GitHub SRS
The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,Operational,GitHub SRS
The product will function alongside server software on any operating system where the Java runtime can be installed.,Operational,GitHub SRS
The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,Operational,GitHub SRS
The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,Operational,GitHub SRS
A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,Operational,GitHub SRS
The products Look and Feel shall be able to incorporate aspects of the customers organization such as logo  branding  and identity,Look And Feel,GitHub SRS
The product shall have a conservative and professional appearance.,Look And Feel,GitHub SRS
The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,Usability,GitHub SRS
The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,Usability,GitHub SRS
The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,Usability,GitHub SRS
The product shall allow the user to select a chosen language from one of the target market countries.,Usability,GitHub SRS
The product shall allow for customization of start page and views preferences.,Usability,GitHub SRS
An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,Usability,GitHub SRS
The product shall use a standard navigation menu familiar to most web users.,Usability,GitHub SRS
The product shall allow for intuitive searching of available conference rooms.,Usability,GitHub SRS
The product shall conform to the Americans with Disabilities Act.,Usability,GitHub SRS
The response shall be fast enough to avoid interrupting the users flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,Performance,GitHub SRS
Aside from server failure  the software product shall achieve 99.99% up time.,Availability,GitHub SRS
The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,Fault Tolerance,GitHub SRS
The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,Scalability,GitHub SRS
The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,Scalability,GitHub SRS
The product shall be expected to operate for at least 5 years for each customer installation.,Scalability,GitHub SRS
The product shall be used in office environments.,Operational,GitHub SRS
The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,Operational,GitHub SRS
The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,Operational,GitHub SRS
The product must be able to interface with various email servers. The product shall be able to send email.,Operational,GitHub SRS
The product shall be available for distribution via the Internet as a binary or ZIP file.,Operational,GitHub SRS
The product shall be available for distribution as a packaged CD.,Operational,GitHub SRS
The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,Operational,GitHub SRS
A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.,Usability,GitHub SRS
The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,Maintainability,GitHub SRS
The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the products software code.,Maintainability,GitHub SRS
Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,Maintainability,GitHub SRS
